student_id,gender,ssc_percentage,hsc_percentage,degree_percentage,cgpa,entrance_exam_score,technical_skill_score,soft_skill_score,internship_count,live_projects,work_experience_months,certifications,attendance_percentage,backlogs,extracurricular_activities,placement_status,salary_package_lpa
50,Female,94,85,66,9.68,49,64,99,0,0,18,3,66,5,Yes,1,10.4
51,Female,60,80,81,8.63,73,42,43,3,0,16,5,80,5,No,0,0.0
52,Male,72,56,73,5.62,70,47,55,3,4,1,1,69,1,No,0,0.0
53,Female,87,69,62,9.2,97,41,57,0,5,12,1,72,3,No,0,0.0
54,Female,72,88,58,9.63,78,55,95,2,0,11,3,93,5,Yes,0,0.0
55,Male,64,53,63,6.48,59,82,82,4,3,10,0,93,5,Yes,0,0.0
56,Female,63,56,92,7.18,58,41,76,2,4,23,4,92,4,Yes,0,0.0
57,Male,77,56,93,6.66,82,55,67,3,0,23,0,80,3,Yes,0,0.0
58,Male,74,77,71,8.26,45,72,66,3,1,7,5,70,5,Yes,0,0.0
59,Male,90,69,62,5.6,42,56,79,5,2,3,2,61,1,No,0,0.0
60,Female,87,55,66,9.57,58,90,65,0,0,12,2,98,5,No,0,0.0
61,Male,79,70,80,7.26,68,73,66,2,3,17,5,90,3,Yes,0,0.0
62,Female,71,82,74,9.11,56,44,94,3,3,0,5,93,3,No,1,7.99
63,Female,69,55,79,6.27,46,89,66,3,3,19,1,67,4,No,1,11.13
64,Male,75,58,52,6.89,92,74,74,3,0,24,2,80,1,No,1,14.83
65,Female,66,71,66,6.85,83,78,72,0,1,13,1,83,4,Yes,0,0.0
66,Male,63,72,82,9.21,81,90,66,4,4,19,3,66,5,Yes,0,0.0
67,Female,73,53,51,7.46,48,87,46,2,0,23,5,87,5,Yes,0,0.0
68,Male,79,50,87,9.27,83,90,86,5,3,1,5,96,4,Yes,0,0.0
69,Male,59,58,88,6.71,96,50,49,1,1,12,5,69,1,No,0,0.0
70,Male,75,95,83,8.5,47,50,99,0,1,4,3,62,2,Yes,1,8.9
71,Male,94,81,61,8.12,81,78,68,0,0,8,5,80,4,No,0,0.0
72,Female,58,92,63,9.45,86,96,89,0,3,4,3,74,2,No,1,7.29
73,Female,95,87,70,7.16,41,92,42,3,2,2,5,76,5,No,0,0.0
74,Male,51,68,89,6.27,70,68,57,5,0,24,2,95,1,Yes,0,0.0
75,Male,62,91,74,8.13,56,85,92,1,2,0,1,67,5,Yes,0,0.0
76,Female,91,69,91,7.75,65,54,68,3,0,19,4,63,5,Yes,0,0.0
77,Male,58,86,64,5.82,42,56,93,4,3,24,0,93,5,No,0,0.0
78,Female,54,84,89,9.21,63,43,53,5,3,14,0,97,4,Yes,0,0.0
79,Male,72,61,56,9.23,83,63,98,4,2,0,2,60,3,No,0,0.0
80,Female,52,63,89,5.56,89,56,58,3,4,21,0,97,4,Yes,1,10.57
81,Male,51,95,75,7.72,53,46,42,5,5,3,3,89,2,No,0,0.0
82,Male,79,68,90,7.92,92,40,69,0,5,10,4,66,0,Yes,1,6.09
83,Male,60,78,91,5.89,77,99,42,1,5,24,0,61,0,No,0,0.0
84,Female,62,70,85,6.9,78,79,40,1,3,23,5,97,5,Yes,0,0.0
85,Female,92,64,90,7.4,68,53,60,3,2,4,2,90,5,No,0,0.0
86,Female,57,57,50,6.94,41,83,98,2,3,1,4,72,4,No,0,0.0
87,Male,54,50,85,9.27,42,69,70,5,0,11,3,84,5,Yes,0,0.0
88,Female,93,67,59,6.22,97,75,75,0,0,21,3,97,5,No,0,0.0
89,Female,63,65,72,5.82,50,41,84,4,1,21,5,91,4,No,0,0.0
90,Female,84,64,52,7.21,65,87,51,3,3,15,0,71,1,Yes,1,6.16
91,Female,58,94,75,5.5,54,42,45,4,0,16,1,89,2,Yes,0,0.0
92,Female,56,87,81,6.74,61,54,75,2,5,22,1,68,0,Yes,0,0.0
93,Female,80,71,57,6.19,64,44,81,3,2,10,5,84,5,Yes,0,0.0
94,Male,75,87,91,6.39,44,57,50,4,2,21,3,91,5,Yes,0,0.0
95,Female,65,85,63,8.2,80,76,92,1,0,5,5,92,1,No,1,6.93
96,Male,76,50,50,7.8,63,47,46,2,1,21,0,75,5,Yes,0,0.0
97,Female,62,89,56,7.97,71,67,45,0,0,12,5,93,2,Yes,0,0.0
98,Male,52,82,78,5.78,63,79,75,4,1,16,4,60,1,Yes,1,12.08
99,Female,73,82,91,9.34,61,44,47,1,2,9,5,96,3,No,1,7.17
100,Female,90,90,95,6.42,81,77,85,4,2,2,3,63,2,Yes,1,12.66
101,Male,82,56,92,9.57,62,60,94,0,2,13,0,85,1,No,1,8.67
102,Female,85,81,78,9.56,66,86,69,5,0,11,3,66,5,No,0,0.0
103,Female,91,93,87,6.69,81,49,95,1,4,3,5,97,0,Yes,1,14.4
104,Female,65,76,77,5.5,82,91,94,5,0,1,1,82,3,No,0,0.0
105,Male,62,79,80,7.71,77,59,59,2,5,24,0,65,3,No,0,0.0
106,Male,53,95,52,5.62,69,69,76,2,2,4,1,60,3,Yes,0,0.0
107,Female,93,91,54,8.68,91,64,98,1,4,12,0,76,0,No,1,6.53
108,Female,79,59,81,7.29,86,76,58,0,4,12,0,97,1,Yes,0,0.0
109,Male,74,76,65,8.93,87,87,93,0,3,1,0,90,5,Yes,0,0.0
110,Male,76,73,71,7.53,98,61,99,1,0,8,4,63,4,No,0,0.0
111,Female,88,89,56,6.48,84,51,81,5,1,2,2,99,1,Yes,1,4.36
112,Male,76,79,66,6.96,59,56,66,3,1,21,0,88,0,Yes,1,10.96
113,Female,63,73,72,8.62,60,56,70,2,4,21,1,66,5,Yes,0,0.0
114,Female,52,87,50,9.53,72,58,72,3,2,24,4,63,2,No,1,12.53
115,Female,84,83,89,7.45,98,86,79,5,3,7,3,82,0,Yes,1,14.99
116,Male,88,82,60,7.48,48,53,52,4,2,4,2,61,0,Yes,0,0.0
117,Male,84,51,71,7.81,84,48,89,4,3,15,2,62,5,Yes,0,0.0
118,Female,53,80,78,7.73,73,96,89,1,2,2,4,67,5,No,0,0.0
119,Male,53,52,93,5.96,53,48,71,5,4,14,1,62,5,No,0,0.0
120,Female,87,56,58,9.04,89,76,82,2,4,22,5,93,2,Yes,1,11.08
121,Female,70,72,64,7.44,49,45,71,4,5,23,5,91,1,No,0,0.0
122,Male,68,61,58,8.11,43,52,43,2,4,11,3,88,3,Yes,1,13.07
123,Female,66,62,75,7.3,51,50,96,1,4,18,4,97,3,No,0,0.0
124,Male,88,85,91,7.99,58,51,76,0,2,11,1,68,1,No,0,0.0
125,Male,86,84,80,9.73,86,92,64,2,2,11,1,84,3,No,0,0.0
126,Male,53,62,89,6.12,95,65,76,0,3,9,0,68,5,No,0,0.0
127,Male,69,78,60,9.19,69,57,96,4,3,12,0,62,4,No,1,7.17
128,Female,83,53,95,5.76,98,49,72,5,4,18,4,99,3,No,0,0.0
129,Female,67,64,87,7.02,71,50,70,5,5,6,5,76,4,No,1,5.63
130,Female,50,95,81,6.6,98,90,43,1,0,7,5,73,2,Yes,0,0.0
131,Female,87,73,73,6.88,47,61,98,3,5,13,5,80,5,Yes,0,0.0
132,Female,83,79,84,5.73,84,49,76,4,0,19,5,83,1,Yes,1,4.43
133,Female,88,51,83,6.88,95,59,69,3,4,7,5,94,3,No,0,0.0
134,Male,73,59,63,7.27,46,64,81,3,3,6,4,62,1,No,1,12.56
135,Male,84,75,80,8.2,46,82,90,2,2,11,1,69,0,No,1,6.66
136,Male,75,75,58,5.86,90,99,99,1,2,24,2,80,1,Yes,1,7.55
137,Male,81,55,58,5.9,45,93,55,1,3,1,0,79,5,Yes,0,0.0
138,Female,88,58,93,7.15,67,47,60,5,5,22,5,97,0,No,1,8.33
139,Male,87,69,81,5.52,83,76,89,4,3,10,5,62,4,No,1,10.62
140,Female,81,67,72,9.17,67,72,67,0,0,16,3,73,1,No,1,5.03
141,Male,54,56,53,5.59,81,56,60,1,2,21,5,92,3,No,0,0.0
142,Female,79,60,74,6.18,94,50,76,3,0,13,5,86,0,No,1,6.9
143,Male,92,90,68,9.36,86,58,47,0,4,18,5,70,5,No,1,9.49
144,Female,75,60,75,8.56,42,83,78,4,0,12,1,85,2,No,1,6.38
145,Male,52,72,80,7.4,57,96,58,4,0,23,5,81,3,Yes,0,0.0
146,Male,75,70,69,5.69,94,93,54,4,0,22,2,96,2,Yes,1,8.94
147,Female,86,61,79,7.45,53,47,54,5,5,12,5,64,1,Yes,1,9.66
148,Male,85,81,92,6.2,59,89,82,0,0,14,5,82,1,No,1,13.29
149,Female,56,67,61,7.05,98,80,55,5,4,12,5,75,3,Yes,0,0.0
150,Female,70,91,61,7.7,50,80,82,5,0,22,2,96,0,Yes,1,5.37
151,Female,95,65,76,9.45,80,81,61,1,3,4,4,72,5,Yes,0,0.0
152,Male,50,92,91,8.3,44,65,77,4,2,0,2,87,2,Yes,1,11.51
153,Male,57,58,72,7.14,41,48,42,5,1,24,4,98,3,No,0,0.0
154,Male,64,81,51,6.56,73,70,65,3,1,7,1,96,3,No,0,0.0
155,Male,93,55,73,8.38,59,84,95,3,0,23,4,78,0,No,1,4.02
156,Male,63,91,86,9.64,76,55,74,2,4,7,0,88,3,No,0,0.0
157,Female,50,80,55,8.49,64,44,56,3,1,21,3,67,4,Yes,0,0.0
158,Female,84,68,81,8.97,74,55,41,3,1,1,2,63,4,No,1,10.6
159,Male,50,57,86,5.9,46,68,49,0,4,10,0,96,3,Yes,0,0.0
160,Female,74,74,67,7.09,61,45,88,4,3,10,1,66,0,Yes,1,9.89
161,Male,94,63,88,9.72,79,69,49,3,2,6,4,76,4,No,0,0.0
162,Male,62,81,62,9.64,85,84,95,4,4,23,4,92,2,Yes,1,5.9
163,Female,72,57,95,8.45,61,76,71,2,1,24,4,60,0,No,1,14.8
164,Male,71,76,87,6.65,55,43,73,1,2,21,5,71,0,Yes,0,0.0
165,Male,61,80,89,6.16,63,80,59,4,4,15,2,70,1,No,1,10.05
166,Male,89,92,82,8.42,44,68,76,4,2,16,1,65,5,Yes,0,0.0
167,Male,51,50,54,6.78,75,84,76,5,0,7,3,83,4,Yes,0,0.0
168,Male,86,89,82,8.53,82,97,45,5,5,8,0,84,3,Yes,0,0.0
169,Male,86,84,89,7.48,55,86,40,5,5,8,1,75,3,Yes,0,0.0
170,Female,55,63,82,6.1,98,56,98,0,2,8,3,88,2,No,1,14.4
171,Female,81,87,93,5.94,85,57,79,3,4,5,0,73,5,No,0,0.0
172,Female,91,73,90,7.86,51,92,89,4,4,23,5,63,3,Yes,0,0.0
173,Male,62,53,50,7.18,99,78,47,5,0,14,4,70,4,No,0,0.0
174,Male,90,95,87,5.96,75,85,91,5,4,16,1,76,1,Yes,1,7.68
175,Female,79,86,61,9.56,89,90,99,3,1,3,0,87,1,No,1,13.03
176,Male,64,82,68,8.33,50,97,83,5,1,17,1,62,1,Yes,1,9.49
177,Female,72,95,82,6.7,75,93,69,5,1,19,2,92,3,No,0,0.0
178,Male,68,62,69,7.33,57,57,85,3,4,12,0,94,1,No,0,0.0
179,Male,75,63,95,7.46,58,49,77,4,1,6,5,72,0,Yes,1,9.94
180,Female,56,89,67,7.31,64,85,96,4,2,3,1,82,2,No,1,4.34
181,Female,82,57,91,7.72,85,97,97,0,1,7,3,97,4,Yes,0,0.0
182,Female,81,60,93,6.11,86,60,64,5,4,2,3,85,3,Yes,0,0.0
183,Male,79,56,88,9.78,45,63,59,4,0,12,2,60,0,No,0,0.0
184,Female,83,55,80,7.23,59,46,44,0,2,6,2,86,5,Yes,0,0.0
185,Female,57,81,71,9.11,91,48,93,5,3,8,4,84,1,No,1,8.64
186,Female,79,83,85,8.61,90,55,56,3,1,17,1,61,0,Yes,0,0.0
187,Male,85,75,89,7.38,89,99,89,0,3,5,3,94,3,Yes,0,0.0
188,Male,83,83,90,8.53,75,60,87,2,5,14,4,72,0,No,1,8.49
189,Female,89,83,95,7.74,79,49,48,1,2,8,3,98,5,Yes,0,0.0
190,Male,84,69,75,7.34,54,95,46,0,1,12,5,66,0,Yes,1,11.87
191,Male,60,72,56,5.84,95,63,84,5,5,10,3,83,4,No,0,0.0
192,Male,59,88,58,6.35,42,55,44,3,4,15,3,60,4,Yes,0,0.0
193,Male,67,92,67,7.79,52,42,89,2,5,24,0,97,0,Yes,0,0.0
194,Female,64,87,92,6.26,45,75,52,0,1,23,1,73,1,No,0,0.0
195,Female,51,64,55,9.43,58,77,40,2,1,8,2,98,1,Yes,1,7.6
196,Female,55,95,76,6.36,55,57,44,0,1,7,4,62,2,No,0,0.0
197,Female,71,77,88,6.92,48,59,63,4,2,3,3,61,3,Yes,0,0.0
198,Female,54,90,63,9.63,77,97,63,2,2,9,1,66,1,Yes,0,0.0
199,Female,58,52,74,8.69,78,74,98,2,2,11,4,90,1,Yes,1,9.56
200,Male,72,77,65,8.22,87,93,95,4,5,7,4,67,1,No,1,14.44
201,Female,77,84,59,9.53,97,76,64,3,2,19,3,66,4,Yes,0,0.0
202,Female,92,51,64,7.34,97,85,79,5,3,24,1,93,4,Yes,0,0.0
203,Male,50,80,54,7.55,98,93,50,2,5,16,5,68,3,No,0,0.0
204,Female,69,52,77,7.93,52,73,86,0,1,19,1,99,0,Yes,0,0.0
205,Female,87,57,53,7.4,82,73,47,0,3,23,5,99,3,Yes,0,0.0
206,Male,93,76,72,7.48,44,64,68,2,2,3,3,61,0,No,1,12.72
207,Female,94,73,92,9.02,93,41,60,4,0,14,5,88,1,No,1,10.34
208,Male,84,70,52,6.16,62,61,64,3,3,22,4,76,1,Yes,0,0.0
209,Male,57,53,82,9.21,40,65,40,4,2,17,2,68,3,Yes,0,0.0
210,Male,95,94,56,7.88,85,59,40,0,0,7,3,62,1,Yes,0,0.0
211,Male,62,83,67,6.43,89,42,54,4,1,23,5,61,4,No,0,0.0
212,Male,73,85,59,6.96,45,91,84,4,1,21,1,72,5,No,0,0.0
213,Male,58,71,92,7.86,49,82,67,5,0,20,5,61,1,No,1,8.47
214,Female,68,71,84,5.67,63,93,82,2,3,23,4,67,5,No,0,0.0
215,Male,50,68,62,6.17,61,75,79,5,5,8,5,61,0,Yes,1,8.75
216,Female,84,56,57,8.16,69,64,77,3,5,10,3,75,5,Yes,0,0.0
217,Female,90,95,73,6.76,81,79,85,4,2,4,3,70,1,Yes,1,3.62
218,Male,56,56,82,5.77,71,71,70,2,1,10,0,97,1,No,0,0.0
219,Male,51,90,56,5.89,79,92,63,1,2,10,1,70,5,Yes,0,0.0
220,Female,68,90,95,6.34,65,83,61,4,3,14,4,62,1,No,1,14.53
221,Male,77,59,57,7.85,70,61,80,2,1,4,3,63,0,Yes,0,0.0
222,Male,73,88,84,8.03,46,41,75,2,4,21,3,92,3,No,0,0.0
223,Female,62,69,56,5.6,60,40,76,5,5,23,1,86,2,Yes,0,0.0
224,Male,89,85,81,9.4,75,77,56,5,5,13,2,89,5,Yes,0,0.0
225,Male,59,69,92,5.9,46,82,94,0,4,7,2,80,3,No,0,0.0
226,Female,75,52,74,8.33,55,53,46,0,2,9,2,90,4,Yes,0,0.0
227,Female,52,74,66,7.85,98,66,42,0,1,19,1,61,0,No,0,0.0
228,Male,62,91,55,6.44,94,43,69,4,4,23,4,88,2,No,0,0.0
229,Female,68,75,54,7.2,70,44,77,4,2,0,0,69,3,Yes,1,8.72
230,Male,51,76,52,7.09,46,75,94,4,0,3,4,96,0,Yes,0,0.0
231,Female,81,75,91,6.89,64,67,99,2,3,23,3,81,0,No,1,14.61
232,Male,65,51,87,8.64,90,59,51,3,2,9,4,74,0,No,1,10.33
233,Female,66,57,80,7.65,57,73,94,5,4,6,2,78,5,No,0,0.0
234,Female,58,88,79,9.31,93,47,83,3,4,0,2,80,3,No,0,0.0
235,Male,53,65,94,6.07,40,68,93,1,5,8,1,94,0,No,1,10.98
236,Male,59,93,91,8.62,55,77,80,3,3,8,0,64,1,Yes,0,0.0
237,Female,66,61,57,8.38,51,65,81,4,3,16,4,70,2,No,1,10.46
238,Male,68,53,90,8.99,79,73,53,3,5,21,4,74,3,No,0,0.0
239,Female,56,94,55,7.12,80,69,89,5,1,9,2,96,5,No,0,0.0
240,Male,52,68,61,9.11,67,69,74,3,5,19,1,73,3,Yes,0,0.0
241,Male,61,60,83,6.01,42,85,66,0,3,6,2,73,4,Yes,0,0.0
242,Male,59,78,68,8.86,73,44,50,4,3,9,4,80,4,No,0,0.0
243,Female,58,87,57,8.36,93,72,62,2,1,7,5,79,5,Yes,0,0.0
244,Female,55,57,63,8.45,78,69,96,4,5,15,3,72,5,Yes,0,0.0
245,Female,71,78,84,7.26,59,55,93,3,4,16,4,63,0,Yes,1,6.73
246,Female,55,60,82,6.08,84,55,59,3,4,10,1,96,0,No,1,9.88
247,Female,58,76,84,9.34,61,96,44,2,4,6,2,93,4,Yes,1,9.34
248,Male,59,91,84,5.7,73,60,44,1,2,0,2,73,4,No,0,0.0
249,Female,93,59,81,7.58,81,53,82,4,5,24,4,84,4,No,0,0.0
250,Female,59,56,87,8.98,85,51,89,1,5,21,4,70,1,Yes,1,8.09
251,Female,50,65,89,9.31,82,71,70,0,1,24,4,74,0,No,1,5.74
252,Male,64,76,73,9.19,97,57,69,0,1,7,0,80,0,Yes,0,0.0
253,Male,92,70,87,7.4,87,61,94,3,3,7,0,80,4,No,0,0.0
254,Female,51,52,63,7.99,92,54,49,5,1,17,3,68,4,No,0,0.0
255,Male,72,87,78,7.26,99,99,85,0,0,17,5,81,0,No,1,6.32
256,Male,83,85,78,7.61,87,90,43,3,1,4,0,98,3,Yes,0,0.0
257,Male,56,63,83,5.57,55,69,76,0,0,18,0,67,2,Yes,0,0.0
258,Female,90,94,80,6.07,96,58,44,3,0,24,2,66,5,Yes,0,0.0
259,Male,81,73,51,8.66,53,90,69,5,3,3,0,78,5,Yes,0,0.0
260,Male,94,82,71,9.21,89,88,44,5,3,10,5,89,2,No,1,6.63
261,Male,52,76,92,6.69,56,95,92,1,4,16,4,93,2,No,1,6.9
262,Male,84,56,76,6.33,55,71,58,1,1,1,3,87,1,Yes,1,5.62
263,Female,55,50,64,7.07,93,91,51,2,4,15,0,77,4,Yes,0,0.0
264,Female,60,75,85,8.09,79,55,88,0,0,13,4,60,5,Yes,0,0.0
265,Female,93,69,68,7.09,66,71,72,2,4,0,3,80,4,Yes,0,0.0
266,Female,93,94,81,6.26,99,95,54,4,2,2,4,67,4,No,1,3.98
267,Female,94,79,58,8.05,51,65,46,1,0,19,4,69,1,No,0,0.0
268,Male,70,77,77,6.1,55,49,75,4,5,23,1,91,3,Yes,1,3.68
269,Female,57,59,74,7.64,92,49,68,5,2,6,3,78,0,No,1,4.92
270,Female,76,66,73,7.17,85,85,63,2,2,21,1,69,4,Yes,0,0.0
271,Female,59,62,94,7.14,96,71,46,1,2,0,2,68,0,Yes,0,0.0
272,Female,64,84,90,7.77,69,74,72,1,1,9,2,80,4,No,0,0.0
273,Female,74,53,82,5.92,95,94,95,0,1,2,3,70,1,No,1,8.17
274,Female,81,82,60,8.47,93,69,65,4,2,12,2,92,2,No,1,12.85
275,Male,91,58,80,8.54,52,52,88,0,1,2,1,99,1,Yes,1,10.11
276,Male,58,53,72,9.59,82,53,82,5,2,8,4,84,1,No,1,8.05
277,Male,70,88,52,6.18,93,63,95,4,1,17,0,87,1,Yes,1,6.57
278,Female,83,82,90,8.92,77,98,58,4,1,8,4,72,4,Yes,0,0.0
279,Female,55,88,69,9.15,71,49,58,0,5,6,3,83,3,Yes,0,0.0
280,Female,77,60,52,7.66,56,83,79,3,5,1,0,86,4,Yes,0,0.0
281,Male,90,54,52,7.39,60,82,67,3,1,4,1,97,0,No,1,12.33
282,Female,68,75,85,7.87,61,49,40,4,5,18,4,64,5,Yes,0,0.0
283,Male,84,50,66,7.31,82,48,89,0,1,4,1,89,3,Yes,0,0.0
284,Male,64,63,66,7.56,41,67,47,2,4,15,5,73,2,No,0,0.0
285,Female,89,90,52,9.03,80,40,43,0,3,13,5,69,5,Yes,0,0.0
286,Female,54,58,62,7.26,65,76,42,1,3,18,0,69,3,No,0,0.0
287,Female,67,68,56,5.5,40,56,46,0,1,11,3,81,2,Yes,1,5.97
288,Male,52,90,56,7.8,86,77,62,5,0,21,1,78,1,No,0,0.0
289,Female,85,75,61,6.03,77,81,98,2,1,22,5,86,4,No,0,0.0
290,Male,56,69,86,8.37,85,48,78,0,0,22,1,63,0,No,0,0.0
291,Male,61,81,88,7.37,80,64,89,5,4,21,2,84,3,No,0,0.0
292,Female,70,53,58,7.17,47,56,49,3,0,3,5,95,2,No,0,0.0
293,Male,79,95,73,7.03,88,57,41,2,0,19,1,92,1,No,0,0.0
294,Male,68,90,84,7.17,54,44,77,4,4,20,2,89,0,No,0,0.0
295,Male,56,95,90,8.45,58,58,69,5,1,20,4,89,2,Yes,0,0.0
296,Female,89,72,65,9.21,92,84,86,5,3,15,5,81,0,Yes,1,9.61
297,Female,50,76,74,5.64,91,77,67,1,3,11,0,79,2,Yes,0,0.0
298,Female,82,65,50,9.5,71,49,66,0,0,2,4,87,4,No,0,0.0
299,Male,90,64,85,5.75,72,77,91,0,2,2,5,89,5,No,0,0.0
300,Female,80,79,52,9.47,41,73,77,0,0,13,2,64,5,Yes,0,0.0
301,Male,78,57,78,7.62,91,98,86,1,5,22,4,92,2,Yes,1,14.07
302,Male,78,58,86,5.91,75,52,73,0,0,20,2,66,0,Yes,0,0.0
303,Female,75,70,64,6.16,43,69,57,0,0,2,1,83,5,Yes,0,0.0
304,Male,79,65,94,8.71,78,75,52,3,5,0,5,76,3,Yes,0,0.0
305,Female,64,65,68,8.83,92,87,78,5,5,9,2,96,2,Yes,1,4.38
306,Male,75,84,70,9.29,73,97,74,3,4,9,0,84,2,Yes,1,5.97
307,Female,59,75,81,6.44,73,69,90,5,3,19,2,75,5,Yes,0,0.0
308,Male,53,57,56,8.32,90,71,65,5,2,17,0,69,4,No,0,0.0
309,Male,53,53,52,9.38,78,71,98,5,1,12,2,73,0,Yes,1,8.3
310,Female,92,80,79,9.77,80,43,40,0,2,1,1,81,1,No,0,0.0
311,Female,60,95,50,7.35,59,87,76,0,5,17,5,65,4,Yes,0,0.0
312,Male,56,63,65,6.16,45,81,73,3,2,12,3,68,2,Yes,1,10.78
313,Female,64,76,92,6.42,89,71,86,3,5,3,0,90,0,Yes,0,0.0
314,Female,86,80,61,6.41,65,68,93,0,0,5,4,67,3,Yes,0,0.0
315,Male,79,54,80,8.3,85,48,57,4,5,4,0,68,1,No,0,0.0
316,Male,72,67,59,8.16,54,67,92,0,5,17,3,65,2,Yes,1,9.92
317,Male,83,93,94,9.18,58,62,83,1,2,17,0,81,2,Yes,1,13.76
318,Female,65,68,78,7.92,51,79,83,2,2,2,3,93,3,No,0,0.0
319,Female,90,83,77,8.79,96,64,81,3,4,17,1,83,4,No,0,0.0
320,Male,84,89,87,6.99,50,64,58,4,5,1,1,88,2,Yes,0,0.0
321,Male,82,79,61,8.98,88,82,51,0,0,14,0,82,2,Yes,0,0.0
322,Female,95,56,80,9.46,67,97,52,0,3,2,0,99,3,No,0,0.0
323,Male,81,94,76,6.8,55,41,90,3,0,24,1,93,3,Yes,0,0.0
324,Female,79,57,61,7.42,74,96,86,0,2,4,4,62,4,No,0,0.0
325,Male,84,86,88,5.61,41,55,63,5,4,1,0,73,3,No,0,0.0
326,Female,60,88,94,7.0,46,59,87,5,2,3,0,64,4,Yes,0,0.0
327,Male,72,53,76,6.54,42,64,92,2,2,24,1,70,0,Yes,1,4.9
